Model,VaR,ES,Volatility,Sharpe Ratio,Max Drawdown
EWMA,0.08601603473334529,0.1078675777517737,0.011602113684464324,0.04122153450464445,-0.33924960002653276
GJR-GARCH,0.051093257023966075,0.06407300559377548,0.011602113684464324,0.04122153450464445,-0.33924960002653276
